Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,library,analysis_set
GO_Biological_Process_2023,Regulation Of Mast Cell Activation (GO:0033003),1/9,0.0200725304633905,0.0662201318302696,0,0,56.66761363636363,221.47987353276545,CRLF2,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Cell Differentiation Involved In Metanephros Development (GO:0072202),1/9,0.0200725304633905,0.0662201318302696,0,0,56.66761363636363,221.47987353276545,STAT1,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Positive Regulation Of T Cell Apoptotic Process (GO:0070234),1/9,0.0200725304633905,0.0662201318302696,0,0,56.66761363636363,221.47987353276545,IDO1,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Negative Regulation Of Bone Resorption (GO:0045779),1/9,0.0200725304633905,0.0662201318302696,0,0,56.66761363636363,221.47987353276545,IL6,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Regulation Of Cell-Cell Adhesion Involved In Gastrulation (GO:0070587),1/9,0.0200725304633905,0.0662201318302696,0,0,56.66761363636363,221.47987353276545,IL1RN,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Positive Regulation Of DNA-templated Transcription (GO:0045893),7/1243,0.0201097946355726,0.0662201318302696,0,0,2.7898356327712484,10.898627613064376,CXCL10;CD40;IL6;IFI16;STAT1;IRF7;CD38,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Cellular Component Assembly (GO:0022607),3/260,0.0206284125928738,0.0675865578419786,0,0,5.474708171206226,21.247812697546777,CD40;DNAAF1;FSCN1,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Calcium Ion Homeostasis (GO:0055074),2/102,0.0221136967469455,0.0694999273264745,0,0,9.234883720930233,35.199295850238386,CD40;CCL3,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,T-helper Cell Lineage Commitment (GO:0002295),1/10,0.0222783509374741,0.0694999273264745,0,0,50.36868686868687,191.60953052295557,IL6,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Regulation Of Mitochondrial Depolarization (GO:0051900),1/10,0.0222783509374741,0.0694999273264745,0,0,50.36868686868687,191.60953052295557,IFI6,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Aromatic Amino Acid Family Catabolic Process (GO:0009074),1/10,0.0222783509374741,0.0694999273264745,0,0,50.36868686868687,191.60953052295557,IDO1,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Metanephric Mesenchyme Development (GO:0072075),1/10,0.0222783509374741,0.0694999273264745,0,0,50.36868686868687,191.60953052295557,STAT1,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Monocyte Differentiation (GO:0030224),1/10,0.0222783509374741,0.0694999273264745,0,0,50.36868686868687,191.60953052295557,IFI16,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Negative Regulation Of B Cell Proliferation (GO:0030889),1/10,0.0222783509374741,0.0694999273264745,0,0,50.36868686868687,191.60953052295557,MNDA,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Regulation Of T-helper 2 Cell Cytokine Production (GO:2000551),1/10,0.0222783509374741,0.0694999273264745,0,0,50.36868686868687,191.60953052295557,IL6,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Response To Sterol (GO:0036314),1/10,0.0222783509374741,0.0694999273264745,0,0,50.36868686868687,191.60953052295557,CCL3,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Sarcoplasmic Reticulum Calcium Ion Transport (GO:0070296),1/10,0.0222783509374741,0.0694999273264745,0,0,50.36868686868687,191.60953052295557,CCL3,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Negative Regulation Of Apoptotic Process (GO:0043066),4/482,0.0227932804457501,0.0707677088125195,0,0,3.975303602408409,15.031773786010763,IL6;IFI6;CD38;IFIT3,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Positive Regulation Of Vasculature Development (GO:1904018),2/104,0.0229288734091662,0.0708513055107886,0,0,9.052895576835386,34.17792459138332,CD40;ITGB8,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Intrinsic Apoptotic Signaling Pathway (GO:0097193),2/105,0.0233410884774906,0.0717848570156787,0,0,8.964551817566042,33.68466219345958,IFI16;IFI6,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Regulation Of Cilium Movement (GO:0003352),1/11,0.02447931669919,0.0718942094048283,0,0,45.32954545454545,168.16929253740548,DNAAF1,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Negative Regulation Of Leukocyte Apoptotic Process (GO:2000107),1/11,0.02447931669919,0.0718942094048283,0,0,45.32954545454545,168.16929253740548,IRF7,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Positive Regulation Of Platelet Aggregation (GO:1901731),1/11,0.02447931669919,0.0718942094048283,0,0,45.32954545454545,168.16929253740548,IL6,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Regulation Of Mesenchymal Cell Proliferation (GO:0010464),1/11,0.02447931669919,0.0718942094048283,0,0,45.32954545454545,168.16929253740548,STAT1,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Macrophage Chemotaxis (GO:0048246),1/11,0.02447931669919,0.0718942094048283,0,0,45.32954545454545,168.16929253740548,CCL3,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Melanocyte Differentiation (GO:0030318),1/11,0.02447931669919,0.0718942094048283,0,0,45.32954545454545,168.16929253740548,MREG,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Regulation Of T Cell Apoptotic Process (GO:0070232),1/11,0.02447931669919,0.0718942094048283,0,0,45.32954545454545,168.16929253740548,IDO1,GO_Biological_Process_2023,lps_receiver
GO_Biological_Process_2023,Regulation Of Astrocyte Differentiation (GO:0048710),1/11,0.02447931669919,0.0718942094048283,0,0,45.32954545454545,168.16929253740548,IL6,GO_Biological_Process_2023,lps_receiver
